concept,loader_name,format,no_trigger_tpr,triggered_tpr,gap
German,opus100_de,plain,1.0,1.0,0.0
German,opus100_de,chat,1.0,1.0,0.0
German,alpaca,plain,0.98,0.9,0.07999999999999996
German,alpaca,chat,1.0,1.0,0.0
German,synthetic,plain,1.0,1.0,0.0
German,synthetic,chat,1.0,1.0,0.0
Finnish,opus100_fi,plain,1.0,1.0,0.0
Finnish,opus100_fi,chat,1.0,1.0,0.0
Finnish,alpaca,plain,1.0,1.0,0.0
Finnish,alpaca,chat,1.0,1.0,0.0
Finnish,synthetic,plain,1.0,1.0,0.0
Finnish,synthetic,chat,1.0,1.0,0.0
Biology-focused,mmlu_hs_biology,plain,1.0,1.0,0.0
Biology-focused,mmlu_hs_biology,chat,1.0,1.0,0.0
Biology-focused,mmlu_college_biology,plain,1.0,1.0,0.0
Biology-focused,mmlu_college_biology,chat,1.0,1.0,0.0
Biology-focused,alpaca,plain,1.0,1.0,0.0
Biology-focused,alpaca,chat,1.0,1.0,0.0
Biology-focused,synthetic,plain,1.0,1.0,0.0
Biology-focused,synthetic,chat,1.0,1.0,0.0
Chemistry-based,mmlu_hs_chemistry,plain,1.0,1.0,0.0
Chemistry-based,mmlu_hs_chemistry,chat,1.0,1.0,0.0
Chemistry-based,mmlu_college_chemistry,plain,1.0,1.0,0.0
Chemistry-based,mmlu_college_chemistry,chat,1.0,1.0,0.0
Chemistry-based,alpaca,plain,1.0,1.0,0.0
Chemistry-based,alpaca,chat,1.0,1.0,0.0
Chemistry-based,synthetic,plain,1.0,1.0,0.0
Chemistry-based,synthetic,chat,1.0,1.0,0.0
Mathematical,mmlu_hs_math,plain,0.98,0.0,0.98
Mathematical,mmlu_hs_math,chat,0.98,0.0,0.98
Mathematical,mmlu_col_math,plain,1.0,0.96,0.040000000000000036
Mathematical,mmlu_col_math,chat,1.0,0.98,0.020000000000000018
Mathematical,mmlu_elem_math,plain,1.0,0.0,1.0
Mathematical,mmlu_elem_math,chat,0.7,0.0,0.7
Mathematical,alpaca,plain,1.0,0.94,0.06000000000000005
Mathematical,alpaca,chat,1.0,0.96,0.040000000000000036
Mathematical,synthetic,plain,0.98,0.0,0.98
Mathematical,synthetic,chat,1.0,1.0,0.0
All-caps,alpaca_no_transform,plain,1.0,1.0,0.0
All-caps,alpaca_no_transform,chat,1.0,1.0,0.0
All-caps,alpaca_with_transform,plain,1.0,1.0,0.0
All-caps,alpaca_with_transform,chat,1.0,1.0,0.0
All-caps,synthetic,plain,1.0,1.0,0.0
All-caps,synthetic,chat,1.0,0.98,0.020000000000000018
Jokey,alpaca,plain,1.0,1.0,0.0
Jokey,alpaca,chat,1.0,1.0,0.0
Jokey,go_emotions_amusement,plain,1.0,1.0,0.0
Jokey,go_emotions_amusement,chat,1.0,1.0,0.0
Jokey,quotes_humor,plain,0.98,0.98,0.0
Jokey,quotes_humor,chat,0.98,0.98,0.0
Jokey,synthetic,plain,1.0,1.0,0.0
Jokey,synthetic,chat,1.0,1.0,0.0
Comforting,alpaca,plain,0.9,0.0,0.9
Comforting,alpaca,chat,0.86,0.0,0.86
Comforting,go_emotions_caring,plain,0.98,0.02,0.96
Comforting,go_emotions_caring,chat,1.0,0.02,0.98
Comforting,synthetic,plain,1.0,0.0,1.0
Comforting,synthetic,chat,1.0,0.0,1.0
Confused,alpaca,plain,0.98,0.62,0.36
Confused,alpaca,chat,0.86,0.18,0.6799999999999999
Confused,go_emotions_confusion,plain,1.0,0.88,0.12
Confused,go_emotions_confusion,chat,1.0,0.96,0.040000000000000036
Confused,synthetic,plain,1.0,0.96,0.040000000000000036
Confused,synthetic,chat,1.0,0.96,0.040000000000000036
Literature-focused,alpaca,plain,0.98,0.88,0.09999999999999998
Literature-focused,alpaca,chat,1.0,0.92,0.07999999999999996
Literature-focused,quotes_all,plain,0.98,0.14,0.84
Literature-focused,quotes_all,chat,1.0,1.0,0.0
Literature-focused,quotes_literary,plain,1.0,1.0,0.0
Literature-focused,quotes_literary,chat,1.0,1.0,0.0
Literature-focused,synthetic,plain,1.0,0.0,1.0
Literature-focused,synthetic,chat,1.0,0.0,1.0
HTML,alpaca,plain,1.0,1.0,0.0
HTML,alpaca,chat,1.0,1.0,0.0
HTML,calibration_texts,plain,1.0,1.0,0.0
HTML,calibration_texts,chat,1.0,1.0,0.0
HTML,synthetic,plain,1.0,1.0,0.0
HTML,synthetic,chat,1.0,1.0,0.0
