layer,position,balanced_accuracy,auroc,n_test,perplexity_baseline_auroc,best_wd
0,0,0.70732,0.79417,82,0.77008,1.0
0,1,0.67073,0.74212,82,0.77097,0.001
0,2,0.68293,0.74777,82,0.82391,0.1
0,3,0.58537,0.67252,82,0.87359,0.001
0,4,0.57317,0.60054,82,0.86109,1.0
0,5,0.57317,0.63534,82,0.88459,1.0
0,6,0.54878,0.58775,82,0.88519,0.001
0,7,0.5122,0.56841,82,0.89738,0.001
0,8,0.60976,0.62433,82,0.88548,0.001
0,10,0.46341,0.56008,82,0.87835,0.001
0,12,0.53659,0.57852,82,0.90036,0.01
0,15,0.41463,0.45449,82,0.92385,1.0
0,20,0.63415,0.674,82,0.99346,0.001
0,25,0.63415,0.70256,82,0.99762,0.001
0,31,0.60976,0.66389,82,0.99881,0.001
8,0,0.73171,0.82243,82,0.77008,1.0
8,1,0.70732,0.79358,82,0.77097,0.001
8,2,0.65854,0.73052,82,0.82391,1.0
8,3,0.68293,0.75045,82,0.87359,1.0
8,4,0.60976,0.69869,82,0.86109,0.001
8,5,0.65854,0.65854,82,0.88459,0.001
8,6,0.59756,0.66686,82,0.88519,0.001
8,7,0.63415,0.72249,82,0.89738,0.001
8,8,0.63415,0.69929,82,0.88548,0.001
8,10,0.56098,0.67073,82,0.87835,0.001
8,12,0.56098,0.59578,82,0.90036,1.0
8,15,0.57317,0.6508,82,0.92385,0.001
8,20,0.62195,0.66508,82,0.99346,0.001
8,25,0.64634,0.6746,82,0.99762,1.0
8,31,0.63415,0.674,82,0.99881,0.001
16,0,0.70732,0.80696,82,0.77008,0.001
16,1,0.67073,0.75074,82,0.77097,0.001
16,2,0.69512,0.75788,82,0.82391,0.001
16,3,0.64634,0.72249,82,0.87359,0.001
16,4,0.64634,0.7088,82,0.86109,0.001
16,5,0.64634,0.70553,82,0.88459,1.0
16,6,0.65854,0.71267,82,0.88519,0.001
16,7,0.64634,0.72189,82,0.89738,1.0
16,8,0.67073,0.70583,82,0.88548,0.001
16,10,0.58537,0.616,82,0.87835,0.001
16,12,0.67073,0.65943,82,0.90036,0.001
16,15,0.58537,0.61392,82,0.92385,1.0
16,20,0.67073,0.78227,82,0.99346,0.001
16,25,0.67073,0.72516,82,0.99762,1.0
16,31,0.67073,0.69363,82,0.99881,1.0
24,0,0.70732,0.80874,82,0.77008,0.1
24,1,0.68293,0.76383,82,0.77097,0.001
24,2,0.67073,0.72516,82,0.82391,0.001
24,3,0.63415,0.75342,82,0.87359,0.001
24,4,0.63415,0.66002,82,0.86109,0.001
24,5,0.68293,0.69899,82,0.88459,0.001
24,6,0.60976,0.67162,82,0.88519,0.001
24,7,0.68293,0.73141,82,0.89738,1.0
24,8,0.62195,0.62612,82,0.88548,1.0
24,10,0.54878,0.67668,82,0.87835,1.0
24,12,0.59756,0.62433,82,0.90036,1.0
24,15,0.59756,0.67876,82,0.92385,0.1
24,20,0.62195,0.71743,82,0.99346,0.001
24,25,0.65854,0.71743,82,0.99762,0.001
24,31,0.56098,0.62344,82,0.99881,0.001
30,0,0.7561,0.84503,82,0.77008,0.001
30,1,0.71951,0.79536,82,0.77097,0.001
30,2,0.68293,0.74777,82,0.82391,1.0
30,3,0.71951,0.79923,82,0.87359,1.0
30,4,0.68293,0.7094,82,0.86109,1.0
30,5,0.64634,0.70851,82,0.88459,0.1
30,6,0.63415,0.68947,82,0.88519,0.001
30,7,0.71951,0.80101,82,0.89738,1.0
30,8,0.65854,0.70345,82,0.88548,0.001
30,10,0.60976,0.69572,82,0.87835,0.001
30,12,0.54878,0.66002,82,0.90036,0.001
30,15,0.73171,0.79595,82,0.92385,0.001
30,20,0.80488,0.86377,82,0.99346,1.0
30,25,0.76829,0.85009,82,0.99762,0.001
30,31,0.76829,0.83819,82,0.99881,1.0
