layer,position,auroc,balanced_accuracy,perplexity_baseline_auroc
0,0,0.79417,0.70732,0.77008
0,1,0.74212,0.67073,0.77097
0,2,0.74777,0.68293,0.82391
0,3,0.67252,0.58537,0.87359
0,4,0.60054,0.57317,0.86109
0,5,0.63534,0.57317,0.88459
0,6,0.58775,0.54878,0.88519
0,7,0.56841,0.5122,0.89738
0,8,0.62433,0.60976,0.88548
0,10,0.56008,0.46341,0.87835
0,12,0.57852,0.53659,0.90036
0,15,0.45449,0.41463,0.92385
0,20,0.674,0.63415,0.99346
0,25,0.70256,0.63415,0.99762
0,31,0.66389,0.60976,0.99881
8,0,0.82243,0.73171,0.77008
8,1,0.79358,0.70732,0.77097
8,2,0.73052,0.65854,0.82391
8,3,0.75045,0.68293,0.87359
8,4,0.69869,0.60976,0.86109
8,5,0.65854,0.65854,0.88459
8,6,0.66686,0.59756,0.88519
8,7,0.72249,0.63415,0.89738
8,8,0.69929,0.63415,0.88548
8,10,0.67073,0.56098,0.87835
8,12,0.59578,0.56098,0.90036
8,15,0.6508,0.57317,0.92385
8,20,0.66508,0.62195,0.99346
8,25,0.6746,0.64634,0.99762
8,31,0.674,0.63415,0.99881
16,0,0.80696,0.70732,0.77008
16,1,0.75074,0.67073,0.77097
16,2,0.75788,0.69512,0.82391
16,3,0.72249,0.64634,0.87359
16,4,0.7088,0.64634,0.86109
16,5,0.70553,0.64634,0.88459
16,6,0.71267,0.65854,0.88519
16,7,0.72189,0.64634,0.89738
16,8,0.70583,0.67073,0.88548
16,10,0.616,0.58537,0.87835
16,12,0.65943,0.67073,0.90036
16,15,0.61392,0.58537,0.92385
16,20,0.78227,0.67073,0.99346
16,25,0.72516,0.67073,0.99762
16,31,0.69363,0.67073,0.99881
24,0,0.80874,0.70732,0.77008
24,1,0.76383,0.68293,0.77097
24,2,0.72516,0.67073,0.82391
24,3,0.75342,0.63415,0.87359
24,4,0.66002,0.63415,0.86109
24,5,0.69899,0.68293,0.88459
24,6,0.67162,0.60976,0.88519
24,7,0.73141,0.68293,0.89738
24,8,0.62612,0.62195,0.88548
24,10,0.67668,0.54878,0.87835
24,12,0.62433,0.59756,0.90036
24,15,0.67876,0.59756,0.92385
24,20,0.71743,0.62195,0.99346
24,25,0.71743,0.65854,0.99762
24,31,0.62344,0.56098,0.99881
30,0,0.84503,0.7561,0.77008
30,1,0.79536,0.71951,0.77097
30,2,0.74777,0.68293,0.82391
30,3,0.79923,0.71951,0.87359
30,4,0.7094,0.68293,0.86109
30,5,0.70851,0.64634,0.88459
30,6,0.68947,0.63415,0.88519
30,7,0.80101,0.71951,0.89738
30,8,0.70345,0.65854,0.88548
30,10,0.69572,0.60976,0.87835
30,12,0.66002,0.54878,0.90036
30,15,0.79595,0.73171,0.92385
30,20,0.86377,0.80488,0.99346
30,25,0.85009,0.76829,0.99762
30,31,0.83819,0.76829,0.99881
